File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF463GXC	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR769CWW	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22926/'], '@type': ['Target', 'Item'], 'name': 'ATF6-human', 'label': 'ATF6', '@id': '/targets/ATF6-human/', 'title': 'ATF6 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '90338a36-9492-44ee-b464-0655eff2d911', 'status': 'released'}				ATF6-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF119BQD/, /files/ENCFF723HPB/, /files/ENCFF356LFX/, /files/ENCFF317DZF/	97322	ENCODE Processing Pipeline	1b592a52718f1d6f756ef4b7d8e17a8e		https://www.encodeproject.org/files/ENCFF463GXC/@@download/ENCFF463GXC.bed.gz				released	s3://encode-public/2020/07/01/225f547e-ee8a-40c9-b5c9-0907391cd1ba/ENCFF463GXC.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF011QFM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR267DFA	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										FOXA1-human	DNA						2016-07-28	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF622QQU/, /files/ENCFF341BUL/, /files/ENCFF137JYB/, /files/ENCFF356LFX/, /files/ENCFF243SVA/	129455	ENCODE Processing Pipeline	5648b2de1050f8258f941097efffc7b0		https://www.encodeproject.org/files/ENCFF011QFM/@@download/ENCFF011QFM.bed.gz				released	s3://encode-public/2020/11/28/3fb15a0a-b5cf-48cf-896a-9a7648b601a4/ENCFF011QFM.bed.gz	ENCODE4 v1.6.1 GRCh38	released			
ENCFF331BSI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR321OAA	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2308/'], '@type': ['Target', 'Item'], 'name': 'FOXO1-human', 'label': 'FOXO1', '@id': '/targets/FOXO1-human/', 'title': 'FOXO1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'a52d174c-694e-4b1d-8841-80ceceb65f5c', 'status': 'released'}				FOXO1-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF334SEY/, /files/ENCFF206ZBZ/, /files/ENCFF356LFX/, /files/ENCFF723HPB/	440010	ENCODE Processing Pipeline	95dc7cdbca594fc56fa984676cb0feaa		https://www.encodeproject.org/files/ENCFF331BSI/@@download/ENCFF331BSI.bed.gz				released	s3://encode-public/2020/07/02/f6c5d126-93f9-4cc5-aa35-7908f9f4d20a/ENCFF331BSI.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF340VOQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR069JKP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-356'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7029/'], '@type': ['Target', 'Item'], 'name': 'TFDP2-human', 'label': 'TFDP2', '@id': '/targets/TFDP2-human/', 'title': 'TFDP2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'ce4d0949-ca02-453a-84c9-a75e804b43ee', 'status': 'released'}				TFDP2-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF217RYA/, /files/ENCFF026BZS/, /files/ENCFF356LFX/, /files/ENCFF723HPB/	384141	ENCODE Processing Pipeline	d7cd0342b0b4685e12016872c11a9186		https://www.encodeproject.org/files/ENCFF340VOQ/@@download/ENCFF340VOQ.bed.gz				released	s3://encode-public/2020/06/30/18124922-ef06-46e0-bbd8-e2d8e1a549a4/ENCFF340VOQ.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF024WWW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR357QJR	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1081'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/79149/'], '@type': ['Target', 'Item'], 'name': 'ZSCAN5A-human', 'label': 'ZSCAN5A', '@id': '/targets/ZSCAN5A-human/', 'title': 'ZSCAN5A (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6493fa28-189b-4037-88d3-b6427d4d6ac1', 'status': 'released'}				ZSCAN5A-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF847EHD/, /files/ENCFF736OSY/, /files/ENCFF482RWP/, /files/ENCFF856XMU/, /files/ENCFF065LBX/, /files/ENCFF500XPF/, /files/ENCFF949NGG/, /files/ENCFF905YEA/, /files/ENCFF928CJD/, /files/ENCFF490JCT/, /files/ENCFF489ERC/, /files/ENCFF356LFX/, /files/ENCFF890PRG/, /files/ENCFF528DFI/, /files/ENCFF383QIP/, /files/ENCFF705BZZ/, /files/ENCFF585IQN/, /files/ENCFF190AZK/, /files/ENCFF915VLX/, /files/ENCFF425NTG/, /files/ENCFF919EDN/, /files/ENCFF654JHZ/, /files/ENCFF785BTW/, /files/ENCFF800IMV/, /files/ENCFF709TVD/, /files/ENCFF533HJT/, /files/ENCFF451CVJ/	130237	ENCODE Processing Pipeline	06c885c351914983a6da4a3b196c1a05		https://www.encodeproject.org/files/ENCFF024WWW/@@download/ENCFF024WWW.bed.gz				released	s3://encode-public/2020/08/04/64134a7e-6593-49a4-baed-f69b1dce5e10/ENCFF024WWW.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification characterization, missing biosample characterization		
ENCFF823WVL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR871VNN	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:ZNF274'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10782/'], '@type': ['Target', 'Item'], 'label': 'ZNF274', 'title': 'ZNF274 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e43cca6c-95fe-4165-a087-179c071ac748', 'schema_version': '14', 'name': 'ZNF274-human', '@id': '/targets/ZNF274-human/', 'status': 'released'}				ZNF274-human	DNA				formaldehyde		2020-08-28	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF496EZU/, /files/ENCFF356LFX/, /files/ENCFF938FSS/, /files/ENCFF016WME/	334851	ENCODE Processing Pipeline	0b098a45075e7ee158e074d6e132e39a		https://www.encodeproject.org/files/ENCFF823WVL/@@download/ENCFF823WVL.bed.gz				released	s3://encode-public/2020/08/22/19f31f86-ca61-460c-a46c-8822ba3b95d8/ENCFF823WVL.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
ENCFF133TSU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR975SSR	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:ELF1'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1997/'], '@type': ['Target', 'Item'], 'label': 'ELF1', 'title': 'ELF1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '40057629-9f8d-4812-ac11-7bcb4df4374d', 'schema_version': '14', 'name': 'ELF1-human', '@id': '/targets/ELF1-human/', 'status': 'released'}		hg19 13 41451804 41654738		ELF1-human	DNA						2016-06-13	ENCODE		sonication (Bioruptor generic)	200-800	1, 2	1_1, 2_1							/files/ENCFF069JZA/, /files/ENCFF458KGB/, /files/ENCFF356LFX/, /files/ENCFF891DIX/	375290	ENCODE Processing Pipeline	6c8c1a64bf41bf0c3f9d6cace2d419e0		https://www.encodeproject.org/files/ENCFF133TSU/@@download/ENCFF133TSU.bed.gz				released	s3://encode-public/2020/12/02/85635493-624d-4739-9037-1adfc54d7a49/ENCFF133TSU.bed.gz	ENCODE4 v1.6.1 GRCh38	released	missing compliant biosample characterization, missing genetic modification characterization		
ENCFF632NSF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR618END	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1032'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/80264/'], '@type': ['Target', 'Item'], 'name': 'ZNF430-human', 'label': 'ZNF430', '@id': '/targets/ZNF430-human/', 'title': 'ZNF430 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '58e755d2-0af2-42af-b08a-d4aa3bb6ffa2', 'status': 'released'}				ZNF430-human	DNA				formaldehyde		2021-08-13	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF326YFQ/, /files/ENCFF356LFX/, /files/ENCFF272GBE/, /files/ENCFF746UDI/	416153	ENCODE Processing Pipeline	69acf61c23510f742349ab4f0cd0e913		https://www.encodeproject.org/files/ENCFF632NSF/@@download/ENCFF632NSF.bed.gz				released	s3://encode-public/2021/08/02/bb292bfa-b1cd-447f-8c9a-546578bfcb6c/ENCFF632NSF.bed.gz	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, mild to moderate bottlenecking		
ENCFF770OVD	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR767XSF	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-799'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/148254/'], '@type': ['Target', 'Item'], 'name': 'ZNF555-human', 'label': 'ZNF555', '@id': '/targets/ZNF555-human/', 'title': 'ZNF555 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '4dd5a496-95fd-47d4-8578-0d283f131daf', 'status': 'released'}				ZNF555-human	DNA				formaldehyde		2017-03-16	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF300ATN/, /files/ENCFF031UZD/, /files/ENCFF350INM/, /files/ENCFF405GJN/, /files/ENCFF356LFX/, /files/ENCFF036EBY/, /files/ENCFF852BFO/, /files/ENCFF713QSG/, /files/ENCFF716QCX/	121955	ENCODE Processing Pipeline	b8faa3ec80f2e6d002ee12d3047a3d9f		https://www.encodeproject.org/files/ENCFF770OVD/@@download/ENCFF770OVD.bed.gz				released	s3://encode-public/2020/08/04/fa1d35f8-993e-4f43-ac95-25c385229d90/ENCFF770OVD.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification characterization, inconsistent platforms, missing biosample characterization, mild to moderate bottlenecking		
ENCFF283UWH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR018MSO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1586'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7707/'], '@type': ['Target', 'Item'], 'name': 'ZNF148-human', 'label': 'ZNF148', '@id': '/targets/ZNF148-human/', 'title': 'ZNF148 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'ad01b516-ac92-413a-9d36-6218d88d57c3', 'status': 'released'}		hg19 3 124908121 125120221		ZNF148-human	DNA						2017-12-01	ENCODE		sonication (Bioruptor generic)	200-800	3, 4	3_1, 4_1							/files/ENCFF485GBG/, /files/ENCFF535ULD/, /files/ENCFF356LFX/, /files/ENCFF339PCI/	420151	ENCODE Processing Pipeline	ac214a6e2fa60e702ae7b92301674125		https://www.encodeproject.org/files/ENCFF283UWH/@@download/ENCFF283UWH.bed.gz				released	s3://encode-public/2020/12/01/0aa39dbe-c28b-423d-9c44-b6fc267c6561/ENCFF283UWH.bed.gz	ENCODE4 v1.6.1 GRCh38	released	missing compliant biosample characterization, missing genetic modification characterization		
ENCFF408CTC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR196FSX	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-652'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/284406/'], '@type': ['Target', 'Item'], 'name': 'ZFP82-human', 'label': 'ZFP82', '@id': '/targets/ZFP82-human/', 'title': 'ZFP82 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '60bed55f-e784-42d3-bc4c-82f4fca2a663', 'status': 'released'}				ZFP82-human	DNA				formaldehyde		2020-08-28	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF903IKO/, /files/ENCFF592TYT/, /files/ENCFF255YWC/	227484	ENCODE Processing Pipeline	c7b4d4363777cf8cbc8c17fec5ed39d9		https://www.encodeproject.org/files/ENCFF408CTC/@@download/ENCFF408CTC.bed.gz				released	s3://encode-public/2020/08/22/c66f543e-3aaf-4ab2-93b9-3998d4ea06a7/ENCFF408CTC.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, mild to moderate bottlenecking		
ENCFF682RGC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR278JQG	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										IKZF1-human	DNA						2016-06-14	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF296HBB/, /files/ENCFF622QQU/, /files/ENCFF310JPC/, /files/ENCFF423ZRC/, /files/ENCFF356LFX/, /files/ENCFF243SVA/, /files/ENCFF694WGO/	28092	ENCODE Processing Pipeline	745defea5ffebbe624051a03e8ec8774		https://www.encodeproject.org/files/ENCFF682RGC/@@download/ENCFF682RGC.bed.gz				released	s3://encode-public/2021/03/20/0bd27350-7245-4934-9a3d-875cccc439fe/ENCFF682RGC.bed.gz	ENCODE4 v1.7.1 GRCh38	released			
ENCFF780SZL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR878DES	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/57547/'], '@type': ['Target', 'Item'], 'name': 'ZNF624-human', 'label': 'ZNF624', '@id': '/targets/ZNF624-human/', 'title': 'ZNF624 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '5caab2fa-8d05-4185-8785-e3cc70d33c71', 'status': 'released'}				ZNF624-human	DNA				formaldehyde		2017-04-06	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF905YEA/, /files/ENCFF654JHZ/, /files/ENCFF533HJT/, /files/ENCFF451CVJ/, /files/ENCFF012FXK/, /files/ENCFF065LBX/, /files/ENCFF874DIT/, /files/ENCFF705BZZ/, /files/ENCFF800IMV/, /files/ENCFF856XMU/, /files/ENCFF847EHD/, /files/ENCFF585IQN/, /files/ENCFF928CJD/, /files/ENCFF190AZK/, /files/ENCFF919EDN/, /files/ENCFF528DFI/, /files/ENCFF356LFX/, /files/ENCFF709TVD/, /files/ENCFF500XPF/, /files/ENCFF736OSY/, /files/ENCFF383QIP/, /files/ENCFF785BTW/, /files/ENCFF425NTG/, /files/ENCFF489ERC/, /files/ENCFF949NGG/, /files/ENCFF482RWP/, /files/ENCFF490JCT/	21082	ENCODE Processing Pipeline	e3ff65640bbd1c092790586e4b475d41		https://www.encodeproject.org/files/ENCFF780SZL/@@download/ENCFF780SZL.bed.gz				released	s3://encode-public/2020/08/06/c4c21ae3-4d7c-42ee-b34f-1b9053dfdc7a/ENCFF780SZL.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification characterization, missing biosample characterization		
ENCFF006GSY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQZ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										STAT5A-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF691UEA/, /files/ENCFF356LFX/, /files/ENCFF305BPN/, /files/ENCFF870NMW/, /files/ENCFF548BLU/, /files/ENCFF339NUH/	153690	ENCODE Processing Pipeline	b5cba122ab663edf3b71b061768ec75b		https://www.encodeproject.org/files/ENCFF006GSY/@@download/ENCFF006GSY.bed.gz				released	s3://encode-public/2020/12/28/5e30b001-0555-4da1-a188-46929a110454/ENCFF006GSY.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, inconsistent platforms		
ENCFF003AMQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR725QZQ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-701'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/220359/'], '@type': ['Target', 'Item'], 'name': 'TIGD3-human', 'label': 'TIGD3', '@id': '/targets/TIGD3-human/', 'title': 'TIGD3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6cff72f0-e77c-47c4-98a1-657551b86370', 'status': 'released'}				TIGD3-human	DNA				formaldehyde		2020-08-28	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF679MKI/, /files/ENCFF189MQW/, /files/ENCFF356LFX/, /files/ENCFF539OTS/	106767	ENCODE Processing Pipeline	ab41c8ac5b7b453e715fea79b533793a		https://www.encodeproject.org/files/ENCFF003AMQ/@@download/ENCFF003AMQ.bed.gz				released	s3://encode-public/2020/08/22/08363653-5dcd-4783-8d56-318d2542375b/ENCFF003AMQ.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, mild to moderate bottlenecking		
ENCFF898LPA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR400JHG	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/80139/'], '@type': ['Target', 'Item'], 'name': 'ZNF703-human', 'label': 'ZNF703', '@id': '/targets/ZNF703-human/', 'title': 'ZNF703 (Homo sapiens)', 'investigated_as': ['cofactor'], 'uuid': 'b793b4b0-56a7-4ce8-8b67-012f7bfe89d6', 'status': 'released'}				ZNF703-human	DNA				formaldehyde		2020-10-22	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF523HUD/, /files/ENCFF616XHA/, /files/ENCFF915POU/, /files/ENCFF654BOC/	144966	ENCODE Processing Pipeline	b06edcebc678858cd95bf145c0333797		https://www.encodeproject.org/files/ENCFF898LPA/@@download/ENCFF898LPA.bed.gz				released	s3://encode-public/2020/10/20/f5431800-301b-422a-8d90-5e34674423fc/ENCFF898LPA.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification reagents, borderline replicate concordance, moderate library complexity, mild to moderate bottlenecking		
ENCFF794SCQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR125YGM	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3399/'], '@type': ['Target', 'Item'], 'name': 'ID3-human', 'label': 'ID3', '@id': '/targets/ID3-human/', 'title': 'ID3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '986b2e7a-8829-4301-82f7-7228e17d6670', 'status': 'released'}				ID3-human	DNA						2021-03-31	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF553XUK/, /files/ENCFF545KID/, /files/ENCFF529BJQ/	23229	ENCODE Processing Pipeline	e6e475535ea04af262cd6522c6bd3ced		https://www.encodeproject.org/files/ENCFF794SCQ/@@download/ENCFF794SCQ.bed.gz				released	s3://encode-public/2021/03/30/53d1850d-4bae-4661-9a94-de870df34783/ENCFF794SCQ.bed.gz	ENCODE4 v1.8.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF136DDO	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR024CNP	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EGR1-human	DNA						2017-05-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF072BKN/, /files/ENCFF160QEY/, /files/ENCFF337NXS/, /files/ENCFF628INW/	577464	ENCODE Processing Pipeline	0e3dc11bf1288ce611de81a6978d448b		https://www.encodeproject.org/files/ENCFF136DDO/@@download/ENCFF136DDO.bed.gz				released	s3://encode-public/2020/11/29/93494712-831c-47bc-8b9d-ab2894c6fdd3/ENCFF136DDO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF689HWD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR832OGB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										LEF1-human	DNA						2017-05-17	ENCODE			450-650	3, 4	3_1, 4_1							/files/ENCFF072BKN/, /files/ENCFF628INW/, /files/ENCFF270ELG/, /files/ENCFF356LFX/, /files/ENCFF107XWI/	77383	ENCODE Processing Pipeline	a7fa9430702e2544d5e897df739c3ce6		https://www.encodeproject.org/files/ENCFF689HWD/@@download/ENCFF689HWD.bed.gz				released	s3://encode-public/2020/12/01/2619f31a-96e1-41bc-a9c7-6530148a9821/ENCFF689HWD.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, mild to moderate bottlenecking		
